,2019-12-31,2020-12-31,2021-12-31,2022-12-31
Total Assets,116263634000.0,142502134000,181087000000,212639000000
Total Liabilities Net Minority Interest,106412527000.0,130751488000,165189000000,195193000000
Total Equity Gross Minority Interest,9851107000.0,11750646000,15898000000,17446000000
Total Capitalization,23326711000.0,25280104000,21375000000,26025000000
Preferred Stock Equity,1145000000.0,1545000000,3633000000,3633000000
Common Stock Equity,8706107000.0,10205646000,12265000000,13813000000
Capital Lease Obligations,,811541000,995115000,1405000000
Net Tangible Assets,9574118000.0,11497136000,15660000000,17217000000
Invested Capital,22531711000.0,23735104000,17742000000,29092000000
Tangible Book Value,8429118000.0,9952136000,12027000000,13584000000
Total Debt,14637145000.0,14524573000,6882000000,15279000000
Net Debt,,12126047000,8434704000,10996000000
Share Issued,168621000.0,174124000,179473000,183250000
Ordinary Shares Number,168621000.0,174124000,179473000,183250000
Preferred Shares Number,45800000.0,61800000,145300000,145300000
